,0
416,588.7096774
417,588.7096774
418,588.7096774
419,591.1290323
420,591.1290323
421,591.1290323
422,591.1290323
423,593.5483871
424,593.5483871
425,593.5483871
426,595.9677419
427,595.9677419
428,595.9677419
429,598.3870968
430,598.3870968
431,598.3870968
432,600.8064516
433,600.8064516
434,603.2258065
435,603.2258065
436,603.2258065
437,605.6451613
438,605.6451613
439,605.6451613
440,608.0645161
441,610.483871
442,610.483871
443,612.9032258
444,612.9032258
445,615.3225806
446,615.3225806
447,615.3225806
448,615.3225806
449,617.7419355
450,620.1612903
451,622.5806452
452,622.5806452
453,622.5806452
454,625
455,625
456,627.4193548
457,627.4193548
458,629.8387097
459,639.516129
460,644.3548387
461,646.7741935
462,649.1935484
463,649.1935484
464,651.6129032
465,651.6129032
466,654.0322581
467,656.4516129
468,656.4516129
469,661.2903226
470,661.2903226
471,663.7096774
472,666.1290323
473,668.5483871
474,668.5483871
475,668.5483871
476,668.5483871
477,666.1290323
478,666.1290323
479,666.1290323
480,666.1290323
481,663.7096774
482,666.1290323
483,666.1290323
484,666.1290323
485,668.5483871
486,668.5483871
487,670.9677419
488,673.3870968
489,670.9677419
490,670.9677419
491,668.5483871
492,668.5483871
493,666.1290323
494,666.1290323
495,666.1290323
496,666.1290323
497,666.1290323
498,666.1290323
499,666.1290323
500,666.1290323
501,661.2903226
502,661.2903226
503,661.2903226
504,661.2903226
505,661.2903226
506,661.2903226
507,661.2903226
508,661.2903226
509,658.8709677
510,658.8709677
511,654.0322581
512,651.6129032
513,646.7741935
514,644.3548387
515,646.7741935
516,646.7741935
517,644.3548387
518,644.3548387
519,646.7741935
520,641.9354839
521,637.0967742
522,637.0967742
523,634.6774194
524,634.6774194
525,634.6774194
526,634.6774194
527,634.6774194
528,632.2580645
529,629.8387097
530,625
531,625
532,622.5806452
533,622.5806452
534,620.1612903
535,620.1612903
536,617.7419355
537,617.7419355
538,617.7419355
539,617.7419355
540,617.7419355
541,617.7419355
542,617.7419355
543,617.7419355
544,615.3225806
545,615.3225806
546,612.9032258
547,612.9032258
548,612.9032258
549,615.3225806
550,617.7419355
551,617.7419355
552,617.7419355
553,615.3225806
554,615.3225806
555,615.3225806
556,612.9032258
557,610.483871
558,608.0645161
559,608.0645161
560,605.6451613
561,605.6451613
562,605.6451613
563,605.6451613
564,605.6451613
565,605.6451613
566,603.2258065
567,603.2258065
568,603.2258065
569,603.2258065
570,603.2258065
571,603.2258065
572,603.2258065
573,603.2258065
574,603.2258065
575,603.2258065
576,605.6451613
577,605.6451613
578,605.6451613
579,605.6451613
580,605.6451613
581,605.6451613
582,605.6451613
583,603.2258065
584,598.3870968
585,595.9677419
586,595.9677419
587,595.9677419
588,595.9677419
589,595.9677419
590,595.9677419
591,595.9677419
592,595.9677419
593,593.5483871
594,591.1290323
595,591.1290323
596,588.7096774
597,586.2903226
598,583.8709677
599,583.8709677
600,581.4516129
601,579.0322581
602,579.0322581
603,576.6129032
604,576.6129032
605,574.1935484
606,574.1935484
607,574.1935484
608,576.6129032
609,576.6129032
610,574.1935484
611,574.1935484
612,576.6129032
613,576.6129032
614,574.1935484
615,574.1935484
616,571.7741935
617,571.7741935
618,569.3548387
619,569.3548387
620,569.3548387
621,571.7741935
622,571.7741935
623,569.3548387
624,569.3548387
625,569.3548387
626,569.3548387
627,569.3548387
628,569.3548387
629,569.3548387
630,569.3548387
631,569.3548387
632,571.7741935
633,571.7741935
634,571.7741935
635,571.7741935
636,571.7741935
637,571.7741935
638,571.7741935
639,569.3548387
640,569.3548387
641,569.3548387
642,569.3548387
643,569.3548387
644,566.9354839
645,566.9354839
646,566.9354839
647,564.516129
648,562.0967742
649,562.0967742
650,562.0967742
651,562.0967742
652,562.0967742
653,562.0967742
654,559.6774194
655,559.6774194
656,559.6774194
657,559.6774194
658,557.2580645
659,557.2580645
660,554.8387097
661,554.8387097
662,554.8387097
663,552.4193548
664,552.4193548
665,550
666,550
667,547.5806452
668,545.1612903
669,545.1612903
670,542.7419355
671,540.3225806
672,537.9032258
673,537.9032258
674,537.9032258
675,535.483871
676,535.483871
677,535.483871
678,533.0645161
679,533.0645161
680,530.6451613
681,528.2258065
682,528.2258065
683,525.8064516
684,525.8064516
685,523.3870968
686,523.3870968
687,520.9677419
688,520.9677419
689,518.5483871
690,518.5483871
691,516.1290323
692,516.1290323
693,513.7096774
694,513.7096774
695,511.2903226
696,508.8709677
697,508.8709677
698,506.4516129
699,504.0322581
700,504.0322581
701,501.6129032
702,499.1935484
703,499.1935484
704,496.7741935
705,494.3548387
706,494.3548387
707,494.3548387
708,494.3548387
709,491.9354839
710,491.9354839
711,491.9354839
712,494.3548387
713,494.3548387
714,496.7741935
715,499.1935484
716,501.6129032
717,501.6129032
718,501.6129032
719,501.6129032
720,501.6129032
721,501.6129032
722,501.6129032
723,501.6129032
724,501.6129032
725,504.0322581
726,504.0322581
727,501.6129032
728,499.1935484
729,499.1935484
730,496.7741935
731,494.3548387
732,494.3548387
733,494.3548387
734,491.9354839
735,491.9354839
736,494.3548387
737,494.3548387
738,494.3548387
739,494.3548387
740,494.3548387
741,494.3548387
742,494.3548387
743,494.3548387
744,494.3548387
745,494.3548387
746,494.3548387
747,496.7741935
748,499.1935484
749,501.6129032
750,506.4516129
751,508.8709677
752,508.8709677
753,513.7096774
754,516.1290323
755,518.5483871
756,518.5483871
757,518.5483871
758,518.5483871
759,518.5483871
760,518.5483871
